"workerid","nat","age","gender","race","region","gendCom","raceCom","regCom","genCom","name1","trialtype","content","qtype","context","rescontent","resvalence","sent1","sent2","comment","experiment"
"S_146","Y","20s","F","CAU","SW",NA,"","","","Dean","filler","FALSE","base2","c1","FALSE","pos",5,100,"","exp1a"
"S_146","Y","20s","F","CAU","SW",NA,"","","","Prue","filler","TRUE","base1","c1","TRUE","neg",96,93,"","exp1a"
"S_146","Y","20s","F","CAU","SW",NA,"","","","Carrie","evenl","inkling","pq","c1","inkling","pos",86,100,"","exp1a"
"S_146","Y","20s","F","CAU","SW",NA,"","","","Sally","evenh","call","evenpnq","c1","call","neg",1,100,"","exp1a"
"S_146","Y","20s","F","CAU","SW",NA,"","","","Lily","snpi","anything","evenq","c1","anything","pos",100,100,"","exp1a"
"S_146","Y","20s","F","CAU","SW",NA,"","","","David","filler","either","filler3","c1","tooeither","neg",20,95,"","exp1a"
"S_146","Y","20s","F","CAU","SW",NA,"","","","Lydia","filler","anynot","filler1","c1","anynot","pos",90,100,"","exp1a"
"S_146","Y","20s","F","CAU","SW",NA,"","","","Alice","mnpi","lift","pnq","c1","lift","neg",100,97,"","exp1a"
"S_146","Y","20s","F","CAU","SW",NA,"","","","Beth","filler","FALSE","base3","c1","false3","neg",0,95,"","exp1a"
"S_146","Y","20s","F","CAU","SW",NA,"","","","Richard","filler","FALSE","base4","c1","false4","pos",100,89,"","exp1a"
"S_173","Y","20s","M","CAU","NE",NA,"","","","Prue","filler","TRUE","base1","c1","TRUE","neg",76,74,"","exp1a"
"S_173","Y","20s","M","CAU","NE",NA,"","","","Dean","filler","FALSE","base2","c1","FALSE","pos",7,64,"","exp1a"
"S_173","Y","20s","M","CAU","NE",NA,"","","","Alice","mnpi","lift","pnq","c1","lift","neg",88,86,"","exp1a"
"S_173","Y","20s","M","CAU","NE",NA,"","","","Roy","snpi","anytime","evenq","c1","anytime","pos",38,81,"","exp1a"
"S_173","Y","20s","M","CAU","NE",NA,"","","","Sally","evenh","call","evenpnq","c1","call","neg",20,79,"","exp1a"
"S_173","Y","20s","M","CAU","NE",NA,"","","","David","filler","either","filler3","c1","tooeither","neg",23,61,"","exp1a"
"S_173","Y","20s","M","CAU","NE",NA,"","","","Beth","filler","FALSE","base3","c1","false3","neg",3,3,"","exp1a"
