"workerid","nat","age","gender","race","region","gendComments","raceComments","genComments","name1","trialtype","content","qtype","context","prev","rhetorical","negevidential","posepist","surprise","indignation","comment","experiment","qtype2"
"S_156","Y","20s","M","ASI","WE",NA,"",NA,"Matt","evenh","solve","pq","c1","evenh-solve-c2",56,55,59,47,0,"","exp2a","pq"
"S_156","Y","20s","M","ASI","WE",NA,"",NA,"Jacob","evenl","grain","pnq","c1","evenl-grain-c2",59,51,0,83,0,"","exp2a","pnq"
"S_156","Y","20s","M","ASI","WE",NA,"",NA,"Roy","snpi","anytime","evenpnq","c1","snpi-anytime-c2",48,53,0,67,79,"","exp2a","evenpnq"
"S_156","Y","20s","M","ASI","WE",NA,"",NA,"Andrew","mnpi","give","evenq","c1","mnpi-give-c2",0,48,27,94,100,"","exp2a","evenq"
"S_89","Y","20s","F","CAU","MW",NA,"",NA,"Roy","snpi","anytime","evenpnq","c1","snpi-anytime-c2",71,77,82,24,75,"","exp2a","evenpnq"
"S_89","Y","20s","F","CAU","MW",NA,"",NA,"Andrew","mnpi","give","evenq","c1","mnpi-give-c2",23,69,62,71,81,"","exp2a","evenq"
"S_89","Y","20s","F","CAU","MW",NA,"",NA,"Carrie","evenl","inkling","pnq","c1","evenl-inkling-c2",73,80,71,68,60,"","exp2a","pnq"
"S_89","Y","20s","F","CAU","MW",NA,"",NA,"Matt","evenh","solve","pq","c1","evenh-solve-c2",62,50,65,37,34,"","exp2a","pq"
"S_184","Y","20s","F","CAU","MW",NA,"",NA,"Jacob","evenl","grain","evenq","c1","evenl-grain-c2",0,68,0,0,39,"","exp2a","evenq"
"S_184","Y","20s","F","CAU","MW",NA,"",NA,"Alice","mnpi","lift","evenpnq","c1","mnpi-lift-c2",66,76,87,81,71,"","exp2a","evenpnq"
"S_184","Y","20s","F","CAU","MW",NA,"",NA,"Lily","snpi","anything","pq","c1","snpi-anything-c2",100,100,100,100,24,"","exp2a","pq"
"S_184","Y","20s","F","CAU","MW",NA,"",NA,"Matt","evenh","solve","pnq","c1","evenh-solve-c2",100,75,100,32,0,"","exp2a","pnq"
"S_143","Y","30s","M","CAU","MW",NA,"",NA,"Jacob","evenl","grain","evenpnq","c1","evenl-grain-c2",30,94,94,68,31,"","exp2a","evenpnq"
"S_143","Y","30s","M","CAU","MW",NA,"",NA,"Alice","mnpi","lift","pq","c1","mnpi-lift-c2",94,16,83,30,6,"","exp2a","pq"
"S_143","Y","30s","M","CAU","MW",NA,"",NA,"Sally","evenh","call","evenq","c1","evenh-call-c2",65,40,64,75,56,"","exp2a","evenq"
"S_143","Y","30s","M","CAU","MW",NA,"",NA,"Roy","snpi","anytime","pnq","c1","snpi-anytime-c2",93,65,63,59,6,"","exp2a","pnq"
"S_331","Y","20s","F","CAU","MA",NA,"",NA,"Lily","snpi","anything","pnq","c1","snpi-anything-c2",89,32,84,78,55,"","exp2a","pnq"
"S_331","Y","20s","F","CAU","MA",NA,"",NA,"Matt","evenh","solve","evenq","c1","evenh-solve-c2",26,63,25,75,56,"","exp2a","evenq"
"S_331","Y","20s","F","CAU","MA",NA,"",NA,"Andrew","mnpi","give","pq","c1","mnpi-give-c2",43,57,57,56,54,"","exp2a","pq"
"S_331","Y","20s","F","CAU","MA",NA,"",NA,"Jacob","evenl","grain","evenpnq","c1","evenl-grain-c2",58,66,65,62,58,"","exp2a","evenpnq"
