"workerid","nat","age","gender","race","region","gendCom","raceCom","regCom","genCom","name1","conttype2","context","trialtype","content","qtype","conttype","naturalness","comment","experiment"
"S_311","Y","50s","M","CAU","SW",NA,"","","	","Prue","TRUE","c1","filler","base1c","res","FALSE",81,"","exp3a"
"S_311","Y","50s","M","CAU","SW",NA,"","","	","Lydia","nopre2","c1","filler","someclimb","yesever2","c2",97,"","exp3a"
"S_311","Y","50s","M","CAU","SW",NA,"","","	","Jacob","c2","neg","evenl","grain","pq","c1",100,"","exp3a"
"S_311","Y","50s","M","CAU","SW",NA,"","","	","Alice","c2","neut","mnpi","wink","pnq","c1",31,"","exp3a"
"S_311","Y","50s","M","CAU","SW",NA,"","","	","Sally","c2","neg","evenh","call","evenpnq","c1",78,"","exp3a"
"S_311","Y","50s","M","CAU","SW",NA,"","","	","Dean","TRUE","c1","filler","base2c","res","FALSE",30,"","exp3a"
"S_311","Y","50s","M","CAU","SW",NA,"","","	","Roy","c2","neut2","snpi","ever","evenq","c1",82,"","exp3a"
"S_234","Y","20s","M","CAU","MA",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",78,"","exp3a"
"S_234","Y","20s","M","CAU","MA",NA,"","","","Jacob","c2","neut","evenl","smallest","pq","c1",32,"","exp3a"
"S_234","Y","20s","M","CAU","MA",NA,"","","","Andrew","c2","neut2","mnpi","clue","pnq","c1",47,"","exp3a"
"S_234","Y","20s","M","CAU","MA",NA,"","","","Lydia","nopre2","c1","filler","someclimb","yesever2","c2",38,"","exp3a"
"S_234","Y","20s","M","CAU","MA",NA,"","","","Sally","c2","pos","evenh","call","evenpnq","c1",19,"","exp3a"
"S_234","Y","20s","M","CAU","MA",NA,"","","","Roy","c2","neg","snpi","ever","evenq","c1",79,"","exp3a"
"S_234","Y","20s","M","CAU","MA",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",87,"","exp3a"
"S_28","Y","50s","M","CAU","MA",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",92,"","exp3a"
"S_28","Y","50s","M","CAU","MA",NA,"","","","Andrew","c2","neg","mnpi","give","evenpnq","c1",96,"","exp3a"
"S_28","Y","50s","M","CAU","MA",NA,"","","","Lydia","nopre","c1","filler","someclimb","noever","c2",2,"","exp3a"
"S_28","Y","50s","M","CAU","MA",NA,"","","","Carrie","c2","neut2","evenl","inkling","evenq","c1",97,"","exp3a"
"S_28","Y","50s","M","CAU","MA",NA,"","","","Dean","TRUE","c1","filler","base2c","res","FALSE",1,"","exp3a"
